Data Point_ACRR,Accumulation Area (m^2)_ACRR,Slope (degrees)_ACRR,Slope (%)_ACRR,Type_ACRR,Data Point_SR,Flow accumulation area (m^2)_SR,Slope (%)_SR,Type_SR
1,2722730,1.9025463,3.319350077,In channel,1,73,116.5650024,In channel Flowhead
2,2642120,5.9246421,10.30383075,In channel,2,5,65.4815979,Flowhead
3,32438,29.1457329,47.05746239,Flowhead,3,127,78.7405014,Flowhead
4,9515,9.2917747,16.07723867,Flowhead,4,1200770,2.0483601,In channel
5,9088,16.7829037,28.49459621,Flowhead,5,278,22.1721001,Piped Flowhead
6,406,20.6421185,34.57971782,Flowhead,6,5249378,8.0473299,In channel
7,4081,18.8662052,31.80957819,Flowhead,7,4884198,12.0896997,In channel
8,2449850,3.6913812,6.433783623,In channel,8,4519244,33.5052986,In channel
9,52,17.8078804,30.13409696,Flowhead,9,4160935,13.0359001,In channel
10,281,26.2480278,42.95814265,Flowhead,10,3697067,3.7287199,In channel
11,1970040,26.9322948,43.94077528,In channel,11,138304,8.8004103,In channel
12,1,36.6757851,56.93934975,Flowhead,12,72318,23.4102993,In channel
13,219,25.7312107,42.21005294,Flowhead,13,6,25.0093994,Piped Flowhead
14,1318080,14.0772886,24.09228461,In channel,14,138,15.7222996,Flowhead
15,186,29.1243515,47.02781172,Flowhead,15,40,49.294899,Flowhead
16,1854,33.6781807,53.13969999,Flowhead,16,10,30.5167999,"Flowhead, likely piped"
17,287,30.2051144,48.51534147,Flowhead,17,393,51.7251015,Piped Flowhead upslope of R2 Flowhead
18,267643,10.0019131,17.28248375,In channel,18,172029,4.02177,In channel Flowhead
19,516,22.2214031,36.99769537,Flowhead,19,452050,3.9103,In channel
20,1115,25.946003,42.52157997,Flowhead,20,770585,12.3837996,In channel
21,34987,5.3837032,9.368826497,Flowhead,21,65,22.3945999,Piped Flowhead
22,139040,24.0144424,39.68891429,In channel,22,3402477,4.7913299,In channel
23,6103,20.2281418,33.93873139,Flowhead,23,1,93.4815979,Flowhead
24,4345,16.707037,28.37260359,Flowhead,24,66,2.2709701,In channel
25,1693,15.8040514,26.91402304,Flowhead,25,334,32.6767998,Flowhead
26,134791,24.4297714,40.30388936,In channel,26,223324,25.5240993,Flowhead
27,119883,22.1018066,36.8161247,Flowhead,27,827636,6.71839,In channel
28,286,32.536602,51.64600161,Flowhead,28,2701,26.5275002,Flowhead
29,39241,25.8632164,42.40161294,Flowhead,29,1,30.4270992,Piped Flowhead
30,3638,18.1988735,30.75518516,Flowhead,30,79344,13.7278032,In channel Flowhead
31,29353,14.0187368,23.99588739,Flowhead,31,2,82.6172028,Flowhead
32,940,25.5044136,41.88016585,Flowhead,32,427753,39.2691994,In channel
33,127,24.869566,40.95159279,Flowhead,33,2,76.8021011,Flowhead
34,1554,17.6186562,29.83264993,Flowhead,34,694230,9.89499,In channel
35,749101,11.7377825,20.2067072,In channel,35,6,313.2980042,Flowhead
36,2856,11.7546825,20.23501357,Flowhead,36,1924727,10.8824997,In channel
37,24,24.5176754,40.43363761,Flowhead,37,3307690,6.0662298,In channel
38,344,15.9388781,27.13256993,Flowhead,38,9470801,17.7863998,In channel
39,173116,9.5392323,16.49777651,Flowhead,39,9129477,11.2786999,In channel
40,34494,14.002079,23.96845437,Flowhead,40,3539727,14.8862,In channel
41,5667,18.9045734,31.86998092,Flowhead,41,5587395,8.6066904,In channel
42,198627,13.9615431,23.90168216,In channel,42,1736,8.6875,Flowhead - likely upslope of R2 source
43,375,35.3740807,55.31112551,Flowhead,43,448,29.2698994,"Flowhead, not observed in R1"
44,116571,31.3266048,50.03464311,Flowhead,44,18,34.0278015,"Flowhead, observed in early summer 2016"
45,183,33.0235596,52.28631458,Flowhead,45,82,31.1595993,"Flowhead, not observed in R1"
46,6192,32.886734,52.10687302,Flowhead,46,8,43.8753014,"Piped Flowhead, not observed in R1"
47,13,34.9691505,54.79781635,Flowhead,47,427760,27.9073009,"Flowhead, not observed in R1"
48,140,28.2656631,45.82964899,Flowhead,48,23,83.0167999,"Flowhead, not observed in R1"
49,23157,30.1423454,48.4295753,Flowhead,49,26,22.5056992,"Flowhead, not observed in R1"
50,231,29.0412464,46.91248077,Flowhead,50,125,49.4953995,"Flowhead, not observed in R1"
51,170471,19.4741917,32.76387941,Flowhead,51,7,56.5587006,"Flowhead, not observed in R1"
52,294829,24.3161278,40.13593592,In channel,52,5574,45.1907005,"Flowhead, not observed in R1"
53,48901,29.3193283,47.29786481,Flowhead,53,381,54.9006004,"Flowhead, not observed in R1"
54,8855,23.9969025,39.66287278,Flowhead,54,18,4.06429,"Flowhead, not observed in R1"
55,111740,27.847765,45.24134768,In channel,55,124,78.0427017,Likely Flowhead
56,28343,20.6237907,34.55140183,Flowhead,56,34543,33.2158012,Likely Flowhead
57,200,31.2847214,49.97834881,Flowhead,57,3479,42.3786011,Likely Flowhead
58,27740,17.077219,28.96702418,Flowhead,58,626,11.6092997,Likely Flowhead
59,108937,16.5851688,28.1764595,In channel,59,19441,14.6127005,"Flowhead, observed in early summer 2016"
60,32958,14.2928448,24.44677285,In channel,60,426,33.0909004,"Flowhead, observed in early summer 2016"
61,606,33.1465492,52.44729465,Flowhead,61,13721,14.7856998,Likely Flowhead
62,110,33.8131371,53.31457954,Flowhead,62,477,25.6973991,"Flowhead, observed in early summer 2016"
63,4304,28.0216389,45.48653257,Flowhead,63,13,102.9759979,"Flowhead, observed in early summer 2016"
64,7119,18.4828224,31.20470677,Flowhead,,,,
65,1331,22.5645237,37.51719942,Flowhead,,,,
66,24916,22.9327774,38.07240067,Flowhead,,,,
67,53177,29.4345531,47.45710734,In channel,,,,
68,459275,12.513072,21.50182237,In channel,,,,
69,39235,19.136528,32.23463149,Flowhead,,,,
70,1702,24.7952099,40.84233927,Flowhead,,,,
71,16020,18.0211143,30.47311724,Flowhead,,,,
72,99732,28.5156937,46.18001009,In channel,,,,
73,507258,6.3548036,11.04607771,In channel,,,,
74,542606,8.3585253,14.4861901,In channel,,,,
75,452730,22.2333908,37.01588095,In channel,,,,
76,382967,12.3138008,21.16962212,In channel,,,,
77,13809,27.2962685,44.45979445,Flowhead,,,,
78,177722,6.3705945,11.07330229,In channel,,,,
79,12579,25.1675415,41.38837681,Flowhead,,,,
80,661,20.2040405,33.90132373,Flowhead,,,,
81,1615,16.9846916,28.81864363,Flowhead,,,,
82,8152,34.2646637,53.89705947,Flowhead,,,,
83,37141,5.3223944,9.262748405,Flowhead,,,,
84,139,19.6520901,33.04195225,Flowhead,,,,
85,1196,35.0075378,54.84661677,Flowhead,,,,
86,125925,26.2134914,42.90830986,In channel,,,,
87,108,38.9068451,59.65284983,Flowhead,,,,
88,13218,26.7892532,43.73610371,Flowhead,,,,
89,1900150,4.537837,7.903521811,In channel,,,,
90,1743150,25.0612335,41.23273764,In channel,,,,
91,1419260,5.8142343,10.11313405,In channel,,,,
92,582,35.4446259,55.40022123,Flowhead,,,,
93,363000,15.7223778,26.78150607,In channel,,,,
94,171,26.0736313,42.70627249,Flowhead,,,,
95,2352,27.3400688,44.5220808,Flowhead,,,,
96,302975,9.5430918,16.50433085,In channel,,,,
97,711,33.1679268,52.47524508,Flowhead,,,,
98,9538,20.2929935,34.03933875,Flowhead,,,,
99,22,33.6871681,53.15135726,Flowhead,,,,
100,1926,19.2722874,32.44764511,Flowhead,,,,
101,60546,27.2716064,44.42470736,Flowhead,,,,
102,4209,15.3569803,26.18746589,Flowhead,,,,
103,35280,18.5699024,31.34230388,Flowhead,,,,
104,292,21.9534245,36.59049795,Flowhead,,,,
105,225,31.5797462,50.37414601,Flowhead,,,,
106,142,36.7643318,57.04889774,Flowhead,,,,
107,6630,36.1362915,56.26857394,Flowhead,,,,
108,187,34.5878639,54.31152047,Flowhead,,,,
109,15583,35.4256821,55.37630562,Flowhead,,,,
110,43176,22.255703,37.04972217,In channel,,,,
111,908,30.8497677,49.39169344,Flowhead,,,,
112,1620,31.0903969,49.71670973,Flowhead,,,,
113,9775450,5.5624285,9.677940196,In channel,,,,
114,3227,23.8371773,39.42546737,Flowhead,,,,
115,8673160,5.3759871,9.355477057,In channel,,,,
116,2283,13.0884533,22.45830343,Flowhead,,,,
117,5074020,16.5185947,28.06921575,In channel,,,,
118,4947400,10.6684742,18.40918067,In channel,,,,
119,4819020,8.1257944,14.08823372,In channel,,,,
120,14,21.7702637,36.31144865,Flowhead,,,,
121,1286,17.9253864,30.3210085,Flowhead,,,,
122,4542350,12.8473825,22.05805913,In channel,,,,
123,3855510,9.4171524,16.29038243,In channel,,,,
124,18906,27.1092377,44.19341074,Flowhead,,,,
125,11804,32.0285301,50.97292486,Flowhead,,,,
126,88038,17.6424809,29.87063519,Flowhead,,,,
127,3524690,4.8009806,8.35976304,In channel,,,,
128,11,28.394825,46.01079195,Flowhead,,,,
129,3021980,20.6821003,34.64146865,In channel,,,,
130,2909390,10.2950382,17.77852044,In channel,,,,
131,69825,16.6401653,28.26500279,Flowhead,,,,
132,2790450,12.1168995,20.84090605,In channel,,,,
133,1254350,18.7628727,31.64678325,In channel,,,,
134,1532220,8.2881126,14.36583661,In channel,,,,
135,495,23.303648,38.62906441,Flowhead,,,,
136,11790,36.2999191,56.47262344,Flowhead,,,,
137,33,46.0497742,67.70052315,Flowhead,,,,
138,55095,16.5969296,28.19539798,Flowhead,,,,
139,5581,10.3612204,17.89039495,Flowhead,,,,
140,137,35.0218582,54.86481434,Flowhead,,,,
141,128,18.5784454,31.35579627,Flowhead,,,,
142,2610,34.1408501,53.73773815,Flowhead,,,,
143,268,40.2994766,61.29764724,Flowhead,,,,
144,1062190,13.4166775,23.00206998,In channel,,,,
145,192,11.3419142,19.54272362,Flowhead,,,,
146,154,26.5702934,43.42204432,Flowhead,,,,
147,581,25.2020035,41.43878496,Flowhead,,,,
148,662891,12.5660667,21.5900878,In channel,,,,
149,113720,12.9975729,22.307502,Flowhead,,,,
150,1943,32.1009636,51.06919435,Flowhead,,,,
151,515531,8.5053596,14.73703155,In channel,,,,
152,124571,27.6013584,44.89287918,In channel,,,,
153,101006,24.6766357,40.66790096,Flowhead,,,,
154,72225,21.6371002,36.10819885,Flowhead,,,,
155,14560,14.3870831,24.6015542,Flowhead,,,,
156,113378,18.8967953,31.85773787,Flowhead,,,,
157,3087010,5.4434419,9.472167626,In channel,,,,
158,194,12.8773355,22.10782879,Flowhead,,,,
159,2669940,4.3090696,7.506613634,In channel,,,,
160,1932,15.3201332,26.12745632,Flowhead,,,,
161,1497,21.8869762,36.48933127,Flowhead,,,,
162,45747,41.0432396,62.16082148,Flowhead,,,,
163,4024,29.5317268,47.59120078,Flowhead,,,,
164,201,34.671505,54.41844281,Flowhead,,,,
165,713504,20.7987728,34.8215088,In channel,,,,
166,669179,26.5039501,43.32670529,In channel,,,,
167,7713,20.5072403,34.37119942,Flowhead,,,,
168,137,24.6452751,40.62172146,Flowhead,,,,
169,42784,29.4298916,47.45067012,Flowhead,,,,
170,44918,21.0182114,35.15949254,Flowhead,,,,
171,1974,24.3569946,40.19636044,Flowhead,,,,
172,4967,19.6380978,33.02010004,Flowhead,,,,
173,3022,7.2834783,12.64424982,Flowhead,,,,
174,204,21.9380188,36.56704994,Flowhead,,,,
175,1210,1.5604445,2.722816358,In channel,,,,
176,17287,33.1608086,52.4659393,Flowhead,,,,
177,21114,20.2897053,34.03423934,Flowhead,,,,
178,291,26.1425953,42.8059422,Flowhead,,,,
179,71781,26.1486931,42.81475065,In channel,,,,
180,24220,18.7441082,31.61720211,Flowhead,,,,
181,1983660,6.6363816,11.53128688,In channel,,,,
182,87003,18.4295979,31.12054528,In channel,,,,
183,129674,17.6315899,29.85327207,In channel,,,,
184,16965700,19.3163986,32.51679235,In channel,,,,
185,16732900,3.6847272,6.422218122,In channel,,,,
186,16268800,1.9857149,3.464339709,In channel,,,,
187,15928700,6.727025,11.68736679,In channel,,,,
188,15695900,2.5847037,4.508102553,In channel,,,,
189,2724,17.2057762,29.17296575,Flowhead,,,,
190,133,22.8047504,37.87965719,Flowhead,,,,
191,388,24.0518646,39.74445606,Flowhead,,,,
192,47211,34.3835564,54.04976346,Flowhead,,,,
193,1625,30.1212673,48.40075728,Flowhead,,,,
194,676,21.7456341,36.27387965,Flowhead,,,,
195,13504000,3.3751993,5.884034113,In channel,,,,
196,5,32.1984901,51.19865043,Flowhead,,,,
197,8983,12.2044849,20.98718201,Flowhead,,,,
198,1181,24.6952343,40.69527933,Flowhead,,,,
199,40081,22.1628056,36.90876487,Flowhead,,,,
200,428,26.2241669,42.92371603,Flowhead,,,,
201,431,31.2236195,49.89616136,Flowhead,,,,
202,1554250,4.410449,7.682535432,In channel,,,,
203,72832,32.2792511,51.30570973,Flowhead,,,,
204,24363,29.832037,48.00443911,Flowhead,,,,
205,91960,25.7663555,42.26108557,Flowhead,,,,
206,1008950,10.665822,18.40470678,In channel,,,,
207,21,12.5337048,21.53619143,Flowhead,,,,
208,755684,10.023572,17.31916543,In channel,,,,
209,1446,22.0804882,36.78373247,Flowhead,,,,
210,142587,21.2878914,35.57371357,Flowhead,,,,
211,35589,15.454915,26.34686946,In channel,,,,
212,1,40.772747,61.84812483,Flowhead,,,,
213,369,34.3357658,53.98841552,Flowhead,,,,
214,8214,33.2330017,52.56027248,Flowhead,,,,
215,488,20.0831814,33.71358939,Flowhead,,,,
216,3162,32.9146538,52.14351885,Flowhead,,,,
217,51168,15.1141529,25.79164078,Flowhead,,,,
218,392912,15.0473022,25.68252379,Flowhead,,,,
219,55214,28.5621109,46.24491931,Flowhead,,,,
220,566172,11.7011776,20.1453852,In channel,,,,
221,4325,14.8701258,25.39302562,Flowhead,,,,
222,655227,10.1989079,17.61594153,In channel,,,,
223,5786,32.904541,52.13024719,Flowhead,,,,
224,1148490,8.8230066,15.27903488,In channel,,,,
225,909421,17.5205574,29.67615124,In channel,,,,
226,765,9.6592932,16.70160104,Flowhead,,,,
227,4399,19.8879642,33.40983004,Flowhead,,,,
228,10271,19.6581745,33.05145342,Flowhead,,,,
229,433,24.6065044,40.56460498,Flowhead,,,,
230,564771,18.5870686,31.36941413,In channel,,,,
231,24974,25.0272179,41.18289261,Flowhead,,,,
232,288,27.5966034,44.8861431,Flowhead,,,,
233,12689,27.2541885,44.39991962,Flowhead,,,,
234,159088,18.0582886,30.53214691,Flowhead,,,,
235,123,22.0055981,36.66987666,Flowhead,,,,
236,1055,25.0059776,41.15175696,Flowhead,,,,
237,1448,17.2101822,29.18001942,Flowhead,,,,
238,93560,25.9365139,42.50783581,Flowhead,,,,
239,175,22.7164135,37.74649407,Flowhead,,,,
240,19519,27.6558304,44.9700147,Flowhead,,,,
241,276,27.9058399,45.32330606,Flowhead,,,,
242,968699,11.6682777,20.09025684,In channel,,,,
243,1698800,2.5467484,4.441990634,In channel,,,,
244,22894,21.4304523,35.79217014,Flowhead,,,,
245,830,15.3692532,26.20744938,Flowhead,,,,
246,153959,9.2816668,16.06004865,In channel,,,,
247,103664,26.3931847,43.16734169,In channel,,,,
248,17021,20.7534542,34.75160445,Flowhead,,,,
249,279276,8.2130527,14.2374937,In channel,,,,
250,221,23.2784958,38.59139097,Flowhead,,,,
251,219,29.9311085,48.14037701,Flowhead,,,,
252,5854,18.9931049,32.00926343,Flowhead,,,,
253,3247,41.9671593,63.21840035,Flowhead,,,,
254,124681,42.493988,63.81421086,Flowhead,,,,
255,626,25.3308887,41.62710939,Flowhead,,,,
256,24080,17.4363327,29.5416665,Flowhead,,,,
257,2891,17.1840744,29.13821847,Flowhead,,,,
258,358,11.2614584,19.40756072,Flowhead,,,,
259,231,36.0740852,56.19086233,Flowhead,,,,
260,276097,14.6986685,25.11245736,In channel,,,,
261,112,16.6145287,28.22373402,Flowhead,,,,
262,468,11.6126184,19.99696378,Flowhead,,,,
263,14082300,12.4672699,21.42550916,In channel,,,,
264,13086300,2.8465383,4.964065065,In channel,,,,
265,12013600,6.3093295,10.9676681,In channel,,,,
266,10026900,1.7531586,3.058884588,In channel,,,,
267,47,16.8782101,28.64772409,Flowhead,,,,
268,3581750,15.6974277,26.74100481,In channel,,,,
269,5074020,16.5185947,28.06921575,In channel,,,,
270,68935,19.8999596,33.42851352,Flowhead,,,,
271,30810,16.4317665,27.92924513,Flowhead,,,,
272,4687,20.780426,34.79321297,Flowhead,,,,
273,112,17.2022018,29.16724319,Flowhead,,,,
274,14,38.9582138,59.71418525,Flowhead,,,,
275,2,34.6544304,54.39662677,Flowhead,,,,
276,449,17.6679039,29.91115892,Flowhead,,,,
277,31285,23.7999802,39.37011245,Flowhead,,,,
278,2683,31.0346069,49.64145624,Flowhead,,,,
279,132,36.4414253,56.64866244,Flowhead,,,,
280,84027,32.9181862,52.14815417,Flowhead,,,,
281,116,25.8340015,42.35924623,Flowhead,,,,
282,847,42.4966965,63.8172605,Flowhead,,,,
283,39,25.2524662,41.51255729,Flowhead,,,,
284,42048,23.2023449,38.47726038,Flowhead,,,,
285,25,27.0427151,44.09850176,Flowhead,,,,
286,15,24.4708214,40.36449797,Flowhead,,,,
287,34,26.8676529,43.84833084,Flowhead,,,,
288,102,25.0230961,41.17685123,Flowhead,,,,
289,53,23.9127388,39.53783584,Flowhead,,,,
290,1,20.635891,34.57009714,Flowhead,,,,
291,38,22.8341599,37.92395915,Flowhead,,,,
292,1186,9.9022903,17.11370147,Flowhead,,,,
293,21,17.9406796,30.34531867,Flowhead,,,,
294,993,12.1052322,20.8214137,Flowhead,,,,
295,1806,28.3031387,45.88224001,Flowhead,,,,
296,106,23.1875153,38.45502234,Flowhead,,,,
297,5870,24.3331966,40.16117715,Flowhead,,,,
298,368,30.2447433,48.56944962,Flowhead,,,,
299,12,33.0160942,52.27653355,Flowhead,,,,
300,58,14.6133919,24.97276211,Flowhead,,,,
301,6525,24.4352951,40.3120467,Flowhead,,,,
302,705,9.0051327,15.58939241,Flowhead,,,,
303,15786,34.9146004,54.7284187,Flowhead,,,,
304,172,37.0375748,57.38597857,Flowhead,,,,
305,252,19.1866264,32.31327391,Flowhead,,,,
306,1087,34.034729,53.60094204,Flowhead,,,,
307,55815,29.065588,46.94627535,Flowhead,,,,
308,2188,15.0069475,25.61662456,Flowhead,,,,
309,10669,34.9877167,54.82142254,Flowhead,,,,
310,106609,26.25,42.96098766,Flowhead,,,,
